Title Word	APD	ESD	HPD	PSD	BPS	STMD	SOMD	ESDMD	ARD	OTH
constraining	0.8333333333333334	0.08333333333333333	0.0	0.08333333333333333	0.0	0.0	0.0	0.0	0.0	0.0
cosmological	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
parameters	0.4	0.2	0.2	0.1	0.0	0.1	0.0	0.0	0.0	0.0
with	0.40487804878048783	0.16097560975609757	0.12682926829268293	0.14146341463414633	0.014634146341463415	0.08292682926829269	0.00975609756097561	0.014634146341463415	0.04390243902439024	0.0
needlet	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
internal	0.2857142857142857	0.5	0.14285714285714285	0.0	0.0	0.07142857142857142	0.0	0.0	0.0	0.0
linear	0.6666666666666666	0.0	0.0	0.16666666666666666	0.0	0.0	0.0	0.0	0.16666666666666666	0.0
combination	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
maps	0.375	0.5	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0
i	0.7777777777777778	0.037037037037037035	0.037037037037037035	0.1111111111111111	0.0	0.037037037037037035	0.0	0.0	0.0	0.0
analytic	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
power	0.5	0.0	0.3333333333333333	0.08333333333333333	0.0	0.08333333333333333	0.0	0.0	0.0	0.0
spectrum	0.625	0.0	0.25	0.0	0.0	0.0	0.0	0.125	0.0	0.0
formalism	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
inflow	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
and	0.234192037470726	0.2903981264637002	0.1592505854800937	0.15456674473067916	0.02576112412177986	0.07494145199063232	0.00936768149882904	0.026932084309133488	0.02459016393442623	0.0
outflow	0.8	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
properties	0.35294117647058826	0.20588235294117646	0.23529411764705882	0.058823529411764705	0.029411764705882353	0.11764705882352941	0.0	0.0	0.0	0.0
not	0.4	0.2	0.0	0.2	0.2	0.0	0.0	0.0	0.0	0.0
total	0.15384615384615385	0.5384615384615384	0.3076923076923077	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gas	0.875	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0
fractions	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
drive	0.3333333333333333	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0
the	0.3107843137254902	0.2754901960784314	0.20098039215686275	0.1450980392156863	0.011764705882352941	0.027450980392156862	0.006862745098039216	0.010784313725490196	0.010784313725490196	0.0
evolution	0.2972972972972973	0.1891891891891892	0.10810810810810811	0.35135135135135137	0.0	0.02702702702702703	0.0	0.0	0.02702702702702703	0.0
of	0.24184100418410043	0.2744769874476987	0.1707112970711297	0.1589958158995816	0.021757322175732216	0.06527196652719665	0.009205020920502092	0.024267782426778243	0.03347280334728033	0.0
massmetallicity	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
relation	0.8888888888888888	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
roasting	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
marshmallows	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
program	0.75	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0
igrins	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
on	0.17889908256880735	0.26605504587155965	0.1834862385321101	0.22018348623853212	0.027522935779816515	0.06880733944954129	0.009174311926605505	0.01834862385321101	0.027522935779816515	0.0
gemini	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
south	0.08333333333333333	0.4166666666666667	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0
ii	0.75	0.05	0.05	0.15	0.0	0.0	0.0	0.0	0.0	0.0
wasp	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b	0.8823529411764706	0.058823529411764705	0.0	0.058823529411764705	0.0	0.0	0.0	0.0	0.0	0.0
has	0.3333333333333333	0.3333333333333333	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0
superstellar	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
co	0.5555555555555556	0.1111111111111111	0.0	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.0	0.0	0.0	0.0
refractorytovolatile	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ratios	0.8333333333333334	0.0	0.0	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0
process	0.14285714285714285	0.2857142857142857	0.0	0.14285714285714285	0.2857142857142857	0.0	0.0	0.14285714285714285	0.0	0.0
modeling	0.1	0.3	0.2	0.14	0.0	0.2	0.0	0.02	0.04	0.0
aerosolcloud	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
interaction	0.10526315789473684	0.21052631578947367	0.47368421052631576	0.05263157894736842	0.0	0.10526315789473684	0.0	0.0	0.05263157894736842	0.0
in	0.25358166189111747	0.3037249283667622	0.16332378223495703	0.11891117478510028	0.025787965616045846	0.0673352435530086	0.0071633237822349575	0.027220630372492838	0.0329512893982808	0.0
summertime	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
precipitating	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
shallow	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cumulus	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
over	0.0	0.8787878787878788	0.06060606060606061	0.030303030303030304	0.0	0.0	0.030303030303030304	0.0	0.0	0.0
western	0.0	0.8666666666666667	0.0	0.13333333333333333	0.0	0.0	0.0	0.0	0.0	0.0
north	0.05263157894736842	0.7368421052631579	0.05263157894736842	0.15789473684210525	0.0	0.0	0.0	0.0	0.0	0.0
atlantic	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
synoptic	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
analysis	0.13333333333333333	0.31666666666666665	0.13333333333333333	0.18333333333333332	0.016666666666666666	0.06666666666666667	0.016666666666666666	0.06666666666666667	0.06666666666666667	0.0
wrfchem	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
model	0.13432835820895522	0.3880597014925373	0.16417910447761194	0.1044776119402985	0.014925373134328358	0.11940298507462686	0.0	0.029850746268656716	0.04477611940298507	0.0
simulation	0.3333333333333333	0.09523809523809523	0.3333333333333333	0.0	0.0	0.0	0.0	0.047619047619047616	0.19047619047619047	0.0
dust	0.391304347826087	0.21739130434782608	0.08695652173913043	0.30434782608695654	0.0	0.0	0.0	0.0	0.0	0.0
events	0.22727272727272727	0.36363636363636365	0.3181818181818182	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	0.0
southwestern	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
united	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
states	0.045454545454545456	0.9090909090909091	0.0	0.0	0.0	0.045454545454545456	0.0	0.0	0.0	0.0
efficiency	0.25	0.25	0.08333333333333333	0.08333333333333333	0.0	0.25	0.0	0.08333333333333333	0.0	0.0
dynamos	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
from	0.2916666666666667	0.3611111111111111	0.125	0.16203703703703703	0.009259259259259259	0.037037037037037035	0.0	0.009259259259259259	0.004629629629629629	0.0
an	0.2558139534883721	0.2441860465116279	0.18604651162790697	0.09302325581395349	0.023255813953488372	0.09302325581395349	0.0	0.08139534883720931	0.023255813953488372	0.0
autonomous	0.16666666666666666	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.3333333333333333	0.0
generation	0.13333333333333333	0.2	0.26666666666666666	0.26666666666666666	0.0	0.13333333333333333	0.0	0.0	0.0	0.0
chiral	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
asymmetry	0.3333333333333333	0.16666666666666666	0.3333333333333333	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0
xray	0.8	0.0	0.075	0.05	0.0	0.05	0.0	0.025	0.0	0.0
polarization	0.4444444444444444	0.0	0.5555555555555556	0.0	0.0	0.0	0.0	0.0	0.0	0.0
black	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hole	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
binary	0.8181818181818182	0.0	0.0	0.18181818181818182	0.0	0.0	0.0	0.0	0.0	0.0
u	0.6666666666666666	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0
challenges	0.1111111111111111	0.4444444444444444	0.1111111111111111	0.2222222222222222	0.0	0.1111111111111111	0.0	0.0	0.0	0.0
